,member_id,product_id,total_trans
0,1010,1,10.5
1,1010,2,2.5
2,1010,3,44.1
3,1010,4,41.86
4,1010,5,26.25
5,1010,6,53.73
6,1010,7,22.5
7,1010,8,30.24
8,1010,9,38.87
9,1010,10,42.96
10,1010,11,169.66
11,1010,12,16.2
12,1010,13,68.54
13,1010,14,23.76
14,1010,15,35.76
15,1010,16,175.84
16,1010,17,94.5
17,1010,18,62.08
18,1010,19,72.45
19,1010,20,31.97
20,1010,21,38.87
21,1010,22,106.02
22,1010,23,83.38
23,1010,24,47.6
24,1010,25,14.1
25,1010,26,17.88
26,1010,27,66.65
27,1010,28,49.13
28,1010,29,71.55
29,1010,30,83.7
30,1010,31,89.64
31,1010,32,120.51
32,1010,33,239.6
33,1010,34,17.91
34,1010,35,41.8
35,1010,36,26.29
36,1010,37,59.18
37,1010,38,87.5
38,1010,39,38.5
39,1010,40,35.9
40,1010,41,40.63
41,1010,42,10.53
42,1010,43,67.83
43,1010,44,43.21
44,1010,45,24.75
45,1010,46,17.25
46,1010,47,72.5
47,1010,48,4.78
48,1010,49,91.77
49,1010,50,98.8
50,1010,51,67.23
51,1010,52,11.31
52,1010,53,25.74
53,1010,54,19.55
54,1010,55,20.28
55,1010,56,41.34
56,1010,57,51.74
57,1010,58,20.25
58,1010,59,36.27
59,1010,60,75.62
60,1010,61,36.12
61,1010,62,130.0
62,1010,63,151.6
63,1010,64,80.28
64,1010,66,83.79
65,1010,67,62.5
66,1010,68,46.62
67,1010,69,99.75
68,1010,70,45.5
69,1010,71,177.93
70,1010,72,19.2
71,1010,73,59.85
72,1010,74,19.95
73,1010,75,140.64
74,1010,76,19.95
75,1010,78,117.8
76,1010,79,14.28
77,1010,80,134.46
78,1010,81,21.54
79,1010,82,103.87
80,1010,83,3.99
81,1010,84,87.5
82,1010,85,109.78
83,1010,86,10.32
84,1010,87,259.74
85,1010,88,59.85
86,1010,89,11.12
87,1010,90,24.75
88,1010,91,107.2
89,1010,92,54.78
90,1010,93,125.79
91,1010,94,25.87
92,1010,95,71.76
93,1010,96,66.0
94,1010,97,281.53
95,1010,98,139.72
96,1010,99,94.81
97,1010,100,13.93
98,1013,1,4.5
99,1013,2,31.25
100,1013,3,44.1
101,1013,4,47.84
102,1013,5,12.25
103,1013,6,69.65
104,1013,7,37.5
105,1013,8,52.92
106,1013,9,23.92
107,1013,10,46.54
108,1013,11,79.84
109,1013,12,37.8
110,1013,13,68.54
111,1013,14,3.96
112,1013,15,50.66
113,1013,17,36.0
114,1013,18,42.68
115,1013,19,75.9
116,1013,20,26.41
117,1013,21,50.83
118,1013,22,36.27
119,1013,24,84.0
120,1013,25,21.15
121,1013,26,74.5
122,1013,27,47.3
123,1013,28,89.59
124,1013,29,37.1
125,1013,30,21.7
126,1013,31,2.49
127,1013,32,55.62
128,1013,33,59.9
129,1013,34,25.87
130,1013,35,79.42
131,1013,36,69.31
132,1013,37,94.15
133,1013,38,101.5
134,1013,39,63.25
135,1013,40,122.06
136,1013,41,54.97
137,1013,42,10.92
138,1013,43,151.62
139,1013,44,11.92
140,1013,45,10.89
141,1013,46,6.21
142,1013,47,60.0
143,1013,48,105.16
144,1013,49,35.91
145,1013,50,70.2
146,1013,51,44.82
147,1013,52,4.35
148,1013,53,24.75
149,1013,54,32.3
150,1013,55,7.8
151,1013,56,58.83
152,1013,57,31.84
153,1013,58,40.5
154,1013,59,33.48
155,1013,60,19.9
156,1013,61,32.25
157,1013,62,104.0
158,1013,63,60.64
159,1013,64,31.22
160,1013,66,47.88
161,1013,67,90.0
162,1013,68,54.39
163,1013,69,63.84
164,1013,71,98.85
165,1013,72,38.4
166,1013,73,59.85
167,1013,74,6.65
168,1013,75,184.59
169,1013,76,18.81
170,1013,77,2.95
171,1013,78,26.6
172,1013,79,28.56
173,1013,80,49.8
174,1013,81,86.16
175,1013,82,47.94
176,1013,83,1.47
177,1013,84,32.5
178,1013,85,69.86
179,1013,86,20.64
180,1013,87,129.87
181,1013,88,115.71
182,1013,89,22.24
183,1013,90,8.91
184,1013,91,100.5
185,1013,92,27.39
186,1013,93,77.87
187,1013,94,37.81
188,1013,95,44.85
189,1013,96,82.5
190,1013,97,131.78
191,1013,98,74.85
192,1013,99,44.91
