tran_id,product_id,qty,price,purch_date
22-03-2021-10-38-39-1509,152,1,6.7,2021-03-22
22-03-2021-10-38-39-1509,556,1,2.99,2021-03-22
22-03-2021-10-38-39-1509,67,10,25.0,2021-03-22
22-03-2021-10-38-39-1509,89,8,22.24,2021-03-22
22-03-2021-10-38-39-1509,83,2,0.42,2021-03-22
22-03-2021-10-38-39-1509,5,3,5.25,2021-03-22
22-03-2021-10-38-39-1509,69,10,39.900000000000006,2021-03-22
22-03-2021-05-28-25-1207,89,9,25.02,2021-03-22
22-03-2021-05-28-25-1207,43,7,27.93,2021-03-22
22-03-2021-05-28-25-1207,98,7,34.93,2021-03-22
22-03-2021-05-28-25-1207,90,6,5.9399999999999995,2021-03-22
22-03-2021-05-28-25-1207,75,2,17.58,2021-03-22
22-03-2021-05-28-25-1207,41,5,11.950000000000001,2021-03-22
22-03-2021-05-28-25-1207,77,9,5.31,2021-03-22
22-03-2021-05-28-25-1207,21,5,14.950000000000001,2021-03-22
22-03-2021-05-28-25-1207,74,7,6.6499999999999995,2021-03-22
22-03-2021-05-28-25-1207,17,10,45.0,2021-03-22
22-03-2021-12-51-23-1336,55,6,4.68,2021-03-22
22-03-2021-12-51-23-1336,5,1,1.75,2021-03-22
22-03-2021-12-51-23-1336,89,3,8.34,2021-03-22
22-03-2021-12-51-23-1336,43,6,23.94,2021-03-22
22-03-2021-12-51-23-1336,62,2,13.0,2021-03-22
22-03-2021-12-51-23-1336,456,6,11.94,2021-03-22
22-03-2021-12-51-23-1336,87,7,69.93,2021-03-22
22-03-2021-14-21-36-1200,56,8,12.72,2021-03-22
22-03-2021-14-21-36-1200,14,9,8.91,2021-03-22
22-03-2021-14-21-36-1200,9,5,14.950000000000001,2021-03-22
22-03-2021-14-21-36-1200,22,2,5.58,2021-03-22
22-03-2021-14-21-36-1200,11,3,14.97,2021-03-22
22-03-2021-14-21-36-1200,33,5,29.950000000000003,2021-03-22
22-03-2021-14-21-36-1200,40,4,14.36,2021-03-22
