Trans id,Member id,Store id,Date
01-01-2020_05:06:55_73_1,73,1,2020-01-01
01-01-2020_02:11:02_70_3,70,3,2020-01-01
01-01-2020_14:09:24_63_2,63,2,2020-01-01
01-01-2020_19:42:15_41_3,41,3,2020-01-01
01-01-2020_07:51:49_72_1,72,1,2020-01-01
01-01-2020_11:57:17_67_2,67,2,2020-01-01
01-01-2020_19:27:44_23_3,23,3,2020-01-01
01-01-2020_23:53:13_98_3,98,3,2020-01-01
01-01-2020_11:57:40_36_3,36,3,2020-01-01
01-01-2020_12:05:29_60_1,60,1,2020-01-01
01-01-2020_16:45:04_61_3,61,3,2020-01-01
01-01-2020_07:58:55_60_1,60,1,2020-01-01
01-01-2020_22:11:02_80_3,80,3,2020-01-01
01-01-2020_07:37:59_27_1,27,1,2020-01-01
01-01-2020_09:33:26_75_3,75,3,2020-01-01
01-01-2020_08:10:23_50_3,50,3,2020-01-01
01-01-2020_23:53:18_68_3,68,3,2020-01-01
01-01-2020_22:32:30_72_3,72,3,2020-01-01
02-01-2020_03:13:37_65_3,65,3,2020-01-02
02-01-2020_18:07:53_43_1,43,1,2020-01-02
02-01-2020_11:59:45_86_2,86,2,2020-01-02
02-01-2020_23:59:28_46_2,46,2,2020-01-02
02-01-2020_01:52:11_41_3,41,3,2020-01-02
02-01-2020_13:32:28_64_2,64,2,2020-01-02
02-01-2020_07:41:54_17_2,17,2,2020-01-02
02-01-2020_15:44:18_48_2,48,2,2020-01-02
02-01-2020_22:18:23_95_2,95,2,2020-01-02
02-01-2020_10:45:17_62_1,62,1,2020-01-02
02-01-2020_22:17:47_93_1,93,1,2020-01-02
02-01-2020_08:50:36_51_3,51,3,2020-01-02
02-01-2020_16:34:15_51_3,51,3,2020-01-02
02-01-2020_06:26:16_66_3,66,3,2020-01-02
02-01-2020_01:08:56_45_3,45,3,2020-01-02
02-01-2020_05:05:12_24_3,24,3,2020-01-02
02-01-2020_17:22:18_85_1,85,1,2020-01-02
02-01-2020_06:30:28_32_3,32,3,2020-01-02
02-01-2020_05:33:17_26_3,26,3,2020-01-02
02-01-2020_02:54:46_33_1,33,1,2020-01-02
02-01-2020_11:59:22_51_3,51,3,2020-01-02
02-01-2020_21:47:51_40_1,40,1,2020-01-02
02-01-2020_06:13:32_72_3,72,3,2020-01-02
02-01-2020_06:08:41_16_1,16,1,2020-01-02
02-01-2020_03:45:38_54_2,54,2,2020-01-02
02-01-2020_14:44:14_23_3,23,3,2020-01-02
02-01-2020_04:41:07_89_3,89,3,2020-01-02
02-01-2020_15:19:03_39_1,39,1,2020-01-02
02-01-2020_11:46:50_29_1,29,1,2020-01-02
02-01-2020_09:15:26_68_1,68,1,2020-01-02
02-01-2020_12:58:34_90_3,90,3,2020-01-02
02-01-2020_02:53:16_71_1,71,1,2020-01-02
02-01-2020_14:57:49_18_2,18,2,2020-01-02
02-01-2020_15:47:33_37_2,37,2,2020-01-02
